91,681;91,932;91,917;91,311;90,428;88,645;86,051;81,989
91,625;91,946;91,935;91,326;90,454;88,648;86,047;81,994
91,453;91,9;91,964;91,351;90,472;88,678;86,085;81,995
91,151;91,738;91,956;91,449;90,488;88,753;86,105;82,042
90,675;91,527;91,868;91,459;90,577;88,817;86,158;82,082
89,181;90,538;91,606;91,479;90,69;88,983;86,306;82,165
86,958;88,853;90,766;91,186;90,835;89,236;86,511;82,304
84,062;86,263;89,273;90,53;90,832;89,513;86,745;82,54
80,676;83,146;87,116;89,316;90,619;89,786;87,065;82,784
76,706;79,189;84,086;87,303;90,065;89,907;87,322;83,051
72,336;74,651;80,374;84,608;89,164;89,812;87,682;83,326
67,501;69,584;75,796;81,083;87,578;89,528;87,941;83,678
62,316;64,065;70,739;76,95;85,33;88,872;88,089;83,966
59,261;60,696;67,534;74,137;83,784;88,26;88,194;84,181
49,006;49,71;56,387;63,971;77,248;85,009;87,957;84,864
37,458;37,653;42,765;49,685;65,285;77,257;86,13;85,352
28,668;28,613;32,252;37,262;51,842;65,967;81,63;85,329
22,591;22,517;24,776;28,266;39,599;52,834;73,876;83,709
